Method,Metric,Policy seeds,Mean,Median,Standard deviation,10th percentile,90th percentile,Minimum,Maximum
JM-MPC,Annualised volatility,5,0.12040606494153441,0.1204060649415344,1.5515838457795457e-17,0.1204060649415344,0.1204060649415344,0.1204060649415344,0.1204060649415344
JM-MPC,Sharpe ratio,5,0.8605653126528965,0.8605653126528966,1.2412670766236366e-16,0.8605653126528966,0.8605653126528966,0.8605653126528966,0.8605653126528966
JM-MPC,Sortino ratio,5,0.7904975414207467,0.7904975414207467,0.0,0.7904975414207467,0.7904975414207467,0.7904975414207467,0.7904975414207467
JM-MPC,Maximum drawdown,5,-0.21589937746530677,-0.21589937746530674,3.1031676915590914e-17,-0.21589937746530674,-0.21589937746530674,-0.21589937746530674,-0.21589937746530674
JM-MPC,Daily CVaR 95%,5,-0.018231854979276006,-0.018231854979276006,0.0,-0.018231854979276006,-0.018231854979276006,-0.018231854979276006,-0.018231854979276006
JM-MPC,Final wealth,5,2.1904777631236083,2.1904777631236083,0.0,2.1904777631236083,2.1904777631236083,2.1904777631236083,2.1904777631236083
JM-MPC,Mean turnover,5,5.44862758611867e-11,5.44862758611867e-11,0.0,5.44862758611867e-11,5.44862758611867e-11,5.44862758611867e-11,5.44862758611867e-11
JM-MPC,Total transaction cost,5,4.482414723395991e-07,4.482414723395991e-07,0.0,4.482414723395991e-07,4.482414723395991e-07,4.482414723395991e-07,4.482414723395991e-07
JM-MPC,Mean HHI,5,0.0854622099679799,0.0854622099679799,0.0,0.0854622099679799,0.0854622099679799,0.0854622099679799,0.0854622099679799
JM-MPC,Mean cash weight,5,0.0377401070062255,0.0377401070062255,0.0,0.0377401070062255,0.0377401070062255,0.0377401070062255,0.0377401070062255
