Phase,Start,End,Trading days,Benchmark cumulative return,Minimum drawdown,Mean annualised volatility,Mean VIX,Mean high-yield spread
Bear,2025-03-27,2025-04-01,4,-0.013401792972581995,-0.09070934022821542,0.20857999825956705,21.0975,3.4475
Sideways,2025-04-02,2025-04-02,1,0.006328298292829215,-0.07621072240182714,0.19940909400863763,21.51,3.42
Bear,2025-04-03,2025-05-09,26,-0.0003187230203763558,-0.18755234489427308,0.45994893421699456,30.446923076923078,3.967692307692308
Sideways,2025-05-12,2025-05-15,4,0.04628408075794047,-0.04598602461588763,0.21713847862521113,18.265,3.135
Bull,2025-05-16,2025-05-21,4,-0.012871339955431322,-0.04619882253170371,0.17731010441353015,18.585,3.205
Sideways,2025-05-22,2025-05-23,2,-0.006433731198801824,-0.052335322924635386,0.1580946515887795,21.285,3.36
Bull,2025-05-27,2025-05-27,1,0.02079046874263546,-0.03263293007740031,0.165553583771581,18.96,3.24
Sideways,2025-05-28,2025-06-02,4,0.0026389837739928456,-0.03822948487813038,0.16814742112373232,18.854999999999997,3.2575
Bull,2025-06-03,2025-06-03,1,0.005702557269405606,-0.02454904009503689,0.16272619536040864,17.69,3.19
Sideways,2025-06-04,2025-06-09,4,0.006022632088440056,-0.029523710458303487,0.15927851565238174,17.505,3.1550000000000002
Bull,2025-06-10,2025-06-10,1,0.005669717805285801,-0.013110417810122121,0.15884892182027072,16.95,3.12
Sideways,2025-06-11,2025-06-11,1,-0.002852077351950366,-0.015925103236361537,0.11867440440290847,17.26,3.12
Bull,2025-06-12,2025-06-12,1,0.003974378305442006,-0.012014017315734038,0.11759775477959154,18.02,3.17
Sideways,2025-06-13,2025-06-20,5,-0.012775408525208531,-0.024635941861705257,0.1291915201971206,20.458000000000002,3.1479999999999997
Bull,2025-06-23,2026-03-19,187,0.11661881783567296,-0.0513163503981412,0.10926248352869193,17.586363636363636,2.914705882352941
Sideways,2026-03-20,2026-04-07,12,0.0018495272676006167,-0.08884968175523733,0.15665842090905513,26.49333333333333,3.2216666666666662
Bull,2026-04-08,2026-08-04,82,0.17307911161575112,-0.04494652583696357,0.13978763062735947,17.68158536585366,2.7753658536585366
